,scripting,rendering,loading,painting,JS Frame,Layout,Parse HTML,Recalculate Style,Run Microtasks,Paint,Compile Script,Minor GC,Update Layer Tree,Parse Stylesheet,Composite Layers,Evaluate Script,Hit Test,XHR Ready State Change,firstPaint,forcedReflowEvents,fps.mean,fps.variance,fps.sd,fps.lo,fps.hi,Timestamp,AudioHandlers,Documents,Frames,JSEventListeners,LayoutObjects,MediaKeySessions,MediaKeys,Nodes,Resources,ContextLifecycleStateObservers,V8PerContextDatas,WorkerGlobalScopes,UACSSResources,RTCPeerConnections,ResourceFetchers,AdSubframes,DetachedScriptStates,ArrayBufferContents,LayoutCount,RecalcStyleCount,LayoutDuration,RecalcStyleDuration,DevToolsCommandDuration,ScriptDuration,V8CompileDuration,TaskDuration,TaskOtherDuration,ThreadTime,ProcessTime,JSHeapUsedSize,JSHeapTotalSize,FirstMeaningfulPaint,DomContentLoaded,NavigationStart,connectEnd,connectStart,domComplete,domContentLoadedEventEnd,domContentLoadedEventStart,domInteractive,domLoading,domainLookupEnd,domainLookupStart,fetchStart,loadEventEnd,loadEventStart,navigationStart,redirectEnd,redirectStart,requestStart,responseEnd,responseStart,secureConnectionStart,unloadEventEnd,unloadEventStart,Animation Frame Fired,Image Decode,XHR Load,Major GC,fps,Fire Idle Callback
0,113.0079996585846,93.05800020694733,24.101000428199768,5.982999920845032,95.25699949264526,81.07599997520447,22.023000478744507,9.582000017166138,9.031000137329102,5.325999855995178,4.297999978065491,3.98199999332428,2.1470001935958862,2.0779999494552612,0.6570000648498535,0.42900002002716064,0.25300002098083496,0.01100003719329834,0,5,38.86,906666.71,952.19,24.03,4694.84,570669.563992,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,6.0,0.080913,0.006582,0.007277,0.102257,0.004325,1.341042,1.139688,0.375995,0.890625,5412548.0,7348224.0,0.0,570669.421832,570668.765104,1608585424647,1608585424646,1608585425130,1608585424998,1608585424997,1608585424997,1608585424661,1608585424345,1608585424345,1608585424341,1608585425130,1608585425130,1608585424340,0,0,1608585424647,1608585424648,1608585424648,0,0,0,0,0,0,0,0,0
0,163.75699889659882,83.19900035858154,24.70900011062622,10.720999836921692,133.48699963092804,62.1120001077652,22.53100025653839,14.40499997138977,14.574000000953674,5.043999552726746,7.019000053405762,5.879999876022339,6.3540003299713135,2.1779998540878296,5.619000315666199,0.403999924659729,0.32799994945526123,0.011999964714050293,1.483753,5,37.03,26398.62,162.48,19.19,1457.73,570676.602157,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,14.0,0.062208,0.012585,0.011935,0.145061,0.007035,0.409688,0.170864,0.454113,3.8125,5450604.0,7348224.0,0.0,570673.455552,570672.030638,1608585428696,1608585428696,1608585432161,1608585429031,1608585429031,1608585429030,1608585428709,1608585428394,1608585428394,1608585427606,1608585432161,1608585432161,1608585427606,0,0,1608585428696,1608585428698,1608585428697,0,0,0,2.380999445915222,0.05799996852874756,0,0,0,0
0,119.11999952793121,61.772000193595886,18.34100043773651,7.526999354362488,101.35899925231934,41.27499997615814,16.671000599861145,14.122000217437744,8.241000056266785,3.651999592781067,3.587000012397766,2.49399995803833,6.16100001335144,1.6699998378753662,3.80899977684021,0.4160001277923584,0.21399998664855957,0.057000041007995605,1.458877,5,52.26,19518.6,139.71,27.79,956.94,570681.171213,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,23.0,0.04137,0.012484,0.0106,0.10906,0.003591,0.302941,0.125836,0.340813,0.6875,5477748.0,7348224.0,0.0,570680.998275,570679.569179,1608585436321,1608585436321,1608585436731,1608585436573,1608585436573,1608585436573,1608585436327,1608585436019,1608585436019,1608585435144,1608585436731,1608585436731,1608585435144,0,0,1608585436321,1608585436322,1608585436322,0,0,0,2.9660000801086426,0.06599998474121094,0,0,0,0
0,106.3250002861023,50.659000277519226,16.904000163078308,7.0849997997283936,89.63400030136108,36.099000096321106,15.776000022888184,9.973999977111816,6.504999995231628,4.069999933242798,3.6730000972747803,3.36299991607666,4.362000226974487,1.1280001401901245,2.924999952316284,0.33799993991851807,0.2239999771118164,0.009999990463256836,3.669252,5,39.57,54061580.24,7352.66,27.77,90909.36,570686.927526,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,19.0,0.036265,0.008655,0.008454,0.097604,0.003678,0.269681,0.115025,0.343763,1.0625,5442708.0,7348224.0,0.0,570686.624767,570682.990301,1608585441767,1608585441767,1608585442490,1608585442200,1608585442200,1608585442199,1608585441773,1608585441467,1608585441467,1608585438566,1608585442490,1608585442490,1608585438565,0,0,1608585441768,1608585441769,1608585441768,0,0,0,2.802000045776367,0.08999991416931152,0,0,0,0
0,127.19699990749359,58.58200025558472,19.088000297546387,8.26200008392334,108.21200001239777,38.7720000743866,17.612000107765198,13.988999962806702,7.831000089645386,4.2469998598098755,4.577999949455261,3.340000033378601,5.56000018119812,1.476000189781189,3.8960002660751343,0.49800002574920654,0.26100003719329834,0.013000011444091797,3.558582,5,39.44,52551.8,229.24,22.8,2624.67,570693.193493,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,15.0,0.039066,0.009674,0.011396,0.113848,0.004605,0.305357,0.126768,0.351943,1.078125,5443360.0,7348224.0,0.0,570692.873903,570689.352172,1608585448155,1608585448154,1608585448752,1608585448450,1608585448449,1608585448448,1608585448160,1608585447853,1608585447853,1608585444931,1608585448752,1608585448752,1608585444927,0,0,1608585448155,1608585448156,1608585448156,0,0,0,2.724999785423279,0.11899995803833008,0,0,0,0
0,125.00000035762787,59.26699984073639,17.674000144004822,6.632999658584595,107.58399987220764,39.41699981689453,16.164000034332275,15.086000084877014,7.672999978065491,4.454999804496765,4.700999975204468,2.867000102996826,4.429999828338623,1.5100001096725464,2.1199997663497925,0.4290001392364502,0.3340001106262207,0.011999964714050293,1.486758,5,48.84,22708.41,150.69,22.36,783.7,570697.322613,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,16.0,0.039337,0.009388,0.009477,0.114348,0.004626,0.300783,0.123607,0.354972,0.71875,5445652.0,7348224.0,0.0,570697.173535,570695.7229,1608585452464,1608585452464,1608585452884,1608585452749,1608585452748,1608585452748,1608585452469,1608585452162,1608585452162,1608585451299,1608585452884,1608585452884,1608585451298,0,0,1608585452464,1608585452466,1608585452465,0,0,0,1.734000325202942,0.05800008773803711,0,0,0,0
0,109.12499988079071,51.76700055599213,20.974000215530396,5.385000109672546,93.27300000190735,36.04300010204315,19.807000160217285,11.272000312805176,7.062000155448914,3.0300002098083496,3.426999807357788,2.438999891281128,4.1590001583099365,1.1670000553131104,2.2959998846054077,0.26800012588500977,0.2929999828338623,0.012000083923339844,1.460382,5,48.03,703558.29,838.78,25.48,7142.86,570700.685209,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,15.0,0.036155,0.009582,0.00859,0.100233,0.003423,0.271968,0.113985,0.339339,0.78125,5437988.0,7348224.0,0.0,570700.534315,570699.11051,1608585455848,1608585455848,1608585456248,1608585456110,1608585456110,1608585456109,1608585455853,1608585455547,1608585455547,1608585454688,1608585456249,1608585456249,1608585454686,0,0,1608585455848,1608585455849,1608585455849,0,0,0,2.6439998149871826,0.05900001525878906,0,0,0,0
0,110.30700063705444,55.84499967098236,17.6839998960495,6.0619999170303345,92.28900027275085,40.71600008010864,16.170999765396118,10.449999928474426,8.259999990463257,4.33899998664856,3.3610000610351562,4.263000011444092,4.359999656677246,1.5130001306533813,1.6349999904632568,0.5460000038146973,0.3190000057220459,0.016000032424926758,1.478168,5,45.67,159010.64,398.76,19.39,2325.58,570704.11578,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,12.0,0.040806,0.009043,0.008249,0.099954,0.003418,0.276855,0.115385,0.337771,0.796875,5432668.0,7348224.0,0.0,570703.985923,570702.549168,1608585459292,1608585459292,1608585459679,1608585459562,1608585459561,1608585459561,1608585459298,1608585458991,1608585458990,1608585458125,1608585459679,1608585459679,1608585458124,0,0,1608585459293,1608585459294,1608585459293,0,0,0,1.57200026512146,0.08799993991851807,0,0,0,0
0,110.16299962997437,58.14300048351288,17.44300079345703,7.233999848365784,93.40499937534332,40.24900019168854,16.286000609397888,11.451000094413757,7.185000061988831,4.402999997138977,3.934000015258789,2.809000015258789,4.936000227928162,1.157000184059143,2.748999834060669,0.466999888420105,1.5069999694824219,0.03400003910064697,1.46339,5,46.43,8159.58,90.33,21.64,500.5,570707.397864,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,18.0,0.040175,0.009758,0.009234,0.101989,0.003864,0.288563,0.123543,0.337844,0.890625,5439452.0,7348224.0,0.0,570707.262156,570705.834739,1608585462579,1608585462579,1608585462954,1608585462838,1608585462837,1608585462837,1608585462585,1608585462278,1608585462278,1608585461411,1608585462954,1608585462954,1608585461410,0,0,1608585462579,1608585462581,1608585462580,0,0,0,2.329000234603882,0.0820000171661377,0,0,0,0
0,116.8420000076294,47.63700032234192,17.569999933242798,6.882999420166016,101.22199964523315,35.8270001411438,15.851999759674072,8.609000086784363,6.865000009536743,5.0469993352890015,3.724000096321106,2.7890000343322754,2.9600000381469727,1.7180001735687256,1.7720000743865967,0.5030001401901245,0.24100005626678467,0.01100003719329834,1.429583,5,47.11,590271.78,768.29,24.96,5586.59,570710.813576,0.0,6.0,2.0,173.0,117.0,0.0,0.0,330.0,28.0,12.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,5.0,14.0,0.036099,0.008154,0.007424,0.108145,0.003816,0.2751,0.111462,0.331482,0.796875,5446708.0,7348224.0,0.0,570710.684466,570709.295678,1608585465974,1608585465974,1608585466376,1608585466260,1608585466260,1608585466259,1608585465979,1608585465672,1608585465672,1608585464872,1608585466376,1608585466376,1608585464871,0,0,1608585465974,1608585465976,1608585465975,0,0,0,1.7280000448226929,0.06400001049041748,0,0,0,0
